object_id,course_id,course_code,object_type,title,primary_category,classification_labels,importance,actionability,confidence,due_text,available_text,points_text,estimated_time,module_ids,module_titles,module_item_ids,issue_types,evidence_count,reason
obj-mth-252-assignment-10586024,2080857,MTH-252,assignment,Acheive - 2.4 Arc Length of a Curve (NO Surface Area),graded_task,graded_task,high,action_required,high,Aug 17 by 11:59pm,,5,,mod-mth-252-015-module-8-application-of-integration-graphical-and-real-world,Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982629,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586025,2080857,MTH-252,assignment,Achieve - 1.1 Approximating Areas,graded_task,graded_task,high,action_required,high,Jun 29 by 11:59pm,,5,,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982551,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586026,2080857,MTH-252,assignment,Achieve - 1.2 The Definite Integral,graded_task,graded_task,high,action_required,high,Jul 6 by 11:59pm,,5,,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982560,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586027,2080857,MTH-252,assignment,Achieve - 1.3 The Fundamental Theorem of Calculus,graded_task,graded_task,high,action_required,high,Jul 13 by 11:59pm,,5,,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982569,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586028,2080857,MTH-252,assignment,Achieve - 1.4 Integration Formulas and the Net Change Theorem,graded_task,graded_task,high,action_required,high,Jul 20 by 11:59pm,,5,,mod-mth-252-009-module-4-introduction-to-applications,Module 4: Introduction to Applications,mi-mth-252-26982581,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586029,2080857,MTH-252,assignment,Achieve - 1.5 Substitution,graded_task,graded_task,high,action_required,high,Jul 20 by 11:59pm,,5,,mod-mth-252-009-module-4-introduction-to-applications,Module 4: Introduction to Applications,mi-mth-252-26982582,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586030,2080857,MTH-252,assignment,Achieve - 1.6 Integrals Involving Exponential and Logarithmic Functions,graded_task,graded_task,high,action_required,high,Jul 20 by 11:59pm,,5,,mod-mth-252-009-module-4-introduction-to-applications,Module 4: Introduction to Applications,mi-mth-252-26982583,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586031,2080857,MTH-252,assignment,Achieve - 2.1 Areas between Curves,graded_task,graded_task,high,action_required,high,Aug 10 by 11:59pm,,5,,mod-mth-252-014-module-7-applications-of-integration-graphical,Module 7: Applications of Integration - Graphical,mi-mth-252-26982615,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586032,2080857,MTH-252,assignment,Achieve - 2.2 Volumes by Slicing and Disc/Washer Method,graded_task,graded_task,high,action_required,high,Aug 10 by 11:59pm,,5,,mod-mth-252-014-module-7-applications-of-integration-graphical,Module 7: Applications of Integration - Graphical,mi-mth-252-26982616,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586033,2080857,MTH-252,assignment,Achieve - 2.3 Volumes of Revolution: Cylindrical Shells,graded_task,graded_task,high,action_required,high,Aug 17 by 11:59pm,,5,,mod-mth-252-015-module-8-application-of-integration-graphical-and-real-world,Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982628,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586034,2080857,MTH-252,assignment,Achieve - 2.5 - 1 Physical Applications,graded_task,graded_task,high,action_required,high,Aug 24 by 11:59pm,,5,,mod-mth-252-017-module-9-applications-of-integration-real-world,Module 9: Applications of Integration - Real-World,mi-mth-252-26982638,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586036,2080857,MTH-252,assignment,Achieve - 2.5 - 2 Physical Applications,graded_task,graded_task,high,action_required,high,Aug 24 by 11:59pm,,5,,mod-mth-252-017-module-9-applications-of-integration-real-world,Module 9: Applications of Integration - Real-World,mi-mth-252-26982639,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586037,2080857,MTH-252,assignment,Achieve - 3.1 Integration by Parts,graded_task,graded_task,high,action_required,high,Jul 27 by 11:59pm,,5,,mod-mth-252-011-module-5-techniques-to-solve-integrals,Module 5: Techniques to Solve Integrals,mi-mth-252-26982595,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586038,2080857,MTH-252,assignment,Achieve - 3.2 Trigonometric Integrals,graded_task,graded_task,high,action_required,high,Jul 27 by 11:59pm,,5,,mod-mth-252-011-module-5-techniques-to-solve-integrals,Module 5: Techniques to Solve Integrals,mi-mth-252-26982596,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586039,2080857,MTH-252,assignment,Achieve - 3.3 Trigonometric Substitution,graded_task,graded_task,high,action_required,high,Aug 3 by 11:59pm,,5,,mod-mth-252-012-module-6-techniques-continued,Module 6: Techniques Continued,mi-mth-252-26982605,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586040,2080857,MTH-252,assignment,Achieve - 3.4 Partial Fractions,graded_task,graded_task,high,action_required,high,Aug 3 by 11:59pm,,5,,mod-mth-252-012-module-6-techniques-continued,Module 6: Techniques Continued,mi-mth-252-26982606,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586041,2080857,MTH-252,assignment,Achieve - 3.7 Improper Integrals,graded_task,graded_task,high,action_required,high,Aug 31 by 11:59pm,,5,,mod-mth-252-018-module-10-applications-of-integration-real-world,Module 10: Applications of Integration - Real World,mi-mth-252-26982648,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586042,2080857,MTH-252,assignment,Achieve - 4.10 Antiderivatives,graded_task,graded_task,high,action_required,high,Jul 13 by 11:59pm,,5,,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982570,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586043,2080857,MTH-252,assignment,Final Mini-Exam 5 --> Monday to Wednesday,graded_task,graded_task,high,action_required,high,Sep 2 by 11:59pm,,5,,mod-mth-252-019-final-exam-available-monday-wednesday-of-week-11,Final Exam: Available Monday - Wednesday of week 11,mi-mth-252-26982652,redirected,5,assignment object
obj-mth-252-assignment-10586044,2080857,MTH-252,assignment,Intro Reflect 1,graded_task,graded_task,high,action_required,high,Jun 29 by 11:59pm,,5,,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982550,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586046,2080857,MTH-252,assignment,Mini-Exam 1 - Retake,graded_task,graded_task,high,action_required,high,Sep 2 by 11:59pm,,5,,mod-mth-252-019-final-exam-available-monday-wednesday-of-week-11,Final Exam: Available Monday - Wednesday of week 11,mi-mth-252-26982653,redirected,5,assignment object
obj-mth-252-assignment-10586045,2080857,MTH-252,assignment,Mini-Exam 1 - Tues - Thur (No late submissions),graded_task,graded_task|critical_setup|prep_reading|lecture_video,high,action_required,high,Jul 9 by 11:59pm,,5,,mod-mth-252-007-mini-exam-1-available-tuesday-thursday-of-week-3,Mini-Exam 1: Available Tuesday - Thursday of Week 3,mi-mth-252-26982562,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal|video title/link signal
obj-mth-252-assignment-10586047,2080857,MTH-252,assignment,Mini-Exam 2 - Retake,graded_task,graded_task|critical_setup|prep_reading,high,action_required,high,Sep 2 by 11:59pm,,5,,mod-mth-252-019-final-exam-available-monday-wednesday-of-week-11,Final Exam: Available Monday - Wednesday of week 11,mi-mth-252-26982654,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal
obj-mth-252-assignment-10586048,2080857,MTH-252,assignment,Mini-Exam 2 --> No Calculators on this Exam,graded_task,graded_task,high,action_required,high,Jul 23 by 11:59pm,,5,,mod-mth-252-010-mini-exam-2-available-tuesday-thursday-of-week-5,Mini-Exam 2: Available Tuesday - Thursday of Week 5,mi-mth-252-26982585,redirected,5,assignment object
obj-mth-252-assignment-10586049,2080857,MTH-252,assignment,Mini-Exam 3 - Retake,graded_task,graded_task|critical_setup|prep_reading,high,action_required,high,Sep 2 by 11:59pm,,5,,mod-mth-252-019-final-exam-available-monday-wednesday-of-week-11,Final Exam: Available Monday - Wednesday of week 11,mi-mth-252-26982655,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal
obj-mth-252-assignment-10586050,2080857,MTH-252,assignment,Mini-Exam 3 --> Tuesday to Thursday,graded_task,graded_task,high,action_required,high,Aug 6 by 11:59pm,,5,,mod-mth-252-013-mini-exam-3-available-tuesday-thursday-of-week-7,Mini-Exam 3: Available Tuesday - Thursday of Week 7,mi-mth-252-26982607,redirected,5,assignment object
obj-mth-252-assignment-10586051,2080857,MTH-252,assignment,Mini-Exam 4 - Retake,graded_task,graded_task|critical_setup|prep_reading,high,action_required,high,Sep 2 by 11:59pm,,5,,mod-mth-252-019-final-exam-available-monday-wednesday-of-week-11,Final Exam: Available Monday - Wednesday of week 11,mi-mth-252-26982656,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal
obj-mth-252-assignment-10586052,2080857,MTH-252,assignment,Mini-Exam 4 --> Tuesday to Thursday,graded_task,graded_task,high,action_required,high,Aug 20 by 11:59pm,,5,,mod-mth-252-016-mini-exam-4-available-tuesday-thursday-of-week-9,Mini-Exam 4: Available Tuesday - Thursday of Week 9,mi-mth-252-26982630,redirected,5,assignment object
obj-mth-252-assignment-10586053,2080857,MTH-252,assignment,Module 1 — Written Homework (WHW 1) 🕓 2 hours,graded_task,graded_task|critical_setup|prep_reading|lecture_video,high,action_required,high,Jul 6 by 11:59pm,,5,2 hours,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982549,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal|video title/link signal
obj-mth-252-assignment-10586054,2080857,MTH-252,assignment,Module 10 — Written Homework (WHW 10) 🕓 3 hours,graded_task,graded_task,high,action_required,high,Aug 31 by 11:59pm,,5,3 hours,mod-mth-252-018-module-10-applications-of-integration-real-world,Module 10: Applications of Integration - Real World,mi-mth-252-26982649,redirected,5,assignment object
obj-mth-252-assignment-10586055,2080857,MTH-252,assignment,Module 2 — Written Homework (WHW 2) 🕓 3 hours,graded_task,graded_task|critical_setup|prep_reading|lecture_video,high,action_required,high,Jul 6 by 11:59pm,,5,3 hours,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982558,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal|video title/link signal
obj-mth-252-assignment-10586056,2080857,MTH-252,assignment,Module 3 — Written Homework (WHW 3) 🕓 3 hours,graded_task,graded_task|critical_setup|prep_reading|lecture_video,high,action_required,high,Jul 13 by 11:59pm,,5,3 hours,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982568,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal|video title/link signal
